Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
TRT,Trio-Tech International,3.56,13076075.8,,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/trt,
UFAB,"Unique Fabricating, Inc.",2.85,27870568.95,,2015.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ufab,
UAMY,United States Antimony Corporation,0.53,36441397.62,,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/uamy,
UUU,"Universal Security Instruments, Inc.",0.82,1896567.34,,,Technology,Electronic Components,https://old.nasdaq.com/symbol/uuu,
URG,Ur Energy Inc,0.6145,98287815.5625,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/urg,
UEC,Uranium Energy Corp.,0.9873,178952290.4187,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/uec,
VHC,VirnetX Holding Corp,5.96,410917498.44,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/vhc,
VGZ,Vista Gold Corporation,0.8190000000000001,82340246.079,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/vgz,
VNRX,VolitionRX Limited,5.6,230103176.8,,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/vnrx,
VOLT,"Volt Information Sciences, Inc.",3.01,64311994.11,,,Technology,Professional Services,https://old.nasdaq.com/symbol/volt,
EAD,Wells Fargo Income Opportunities Fund,8.18,515961246.46,,2003.0,,,https://old.nasdaq.com/symbol/ead,
ERC,Wells Fargo Multi-Sector Income Fund,12.29,377500205.34,,2003.0,,,https://old.nasdaq.com/symbol/erc,
ERH,Wells Fargo Utilities and High Income Fund,13.4,124042165.2,,2004.0,,,https://old.nasdaq.com/symbol/erh,
WRN,Western Copper and Gold Corporation,0.6299,67768422.0299,,2011.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/wrn,
WYY,WidePoint Corporation,0.326,27636710.636,,,Technology,EDP Services,https://old.nasdaq.com/symbol/wyy,
WTT,"Wireless Telecom Group,  Inc.",1.35,28755340.2,,,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/wtt,
XTNT,"Xtant Medical Holdings, Inc.",2.8,36852933.6,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xtnt,
YUMA,"Yuma Energy, Inc.",2.97,4609407.33,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/yuma,
ZDGE,"Zedge, Inc.",1.83,18952830.54,,2016.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/zdge,
ZOM,Zomedica Pharmaceuticals Corp.,0.3152,34053703.0496,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zom,
