Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
MDC,"M.D.C. Holdings, Inc.",43.87,2717946327.85,,,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mdc,
MHO,"M/I Homes, Inc.",37.81,1044212608.46,,1993.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mho,
MAC,Macerich Company (The),28.74,4059967107.42,,1994.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mac,
CLI,Mack-Cali Realty Corporation,21.66,1961394268.32,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cli,
MFD,Macquarie First Trust Global,9.83,84021354.86,,2004.0,,,https://old.nasdaq.com/symbol/mfd,
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,23.65,294875129.45,,2005.0,,,https://old.nasdaq.com/symbol/mgu,
MIC,Macquarie Infrastructure Corporation ,38.87,3352947500.76,,2004.0,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/mic,
BMA,Macro Bank Inc.,26.54,1695906000.0,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/bma,
M,Macy&#39;s Inc,15.03,4642990841.79,,,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/m,
MCN,Madison Covered Call & Equity Strategy Fund,6.21,130080398.04,,2004.0,,,https://old.nasdaq.com/symbol/mcn,
MMP,Magellan Midstream Partners L.P.,65.45,14949004362.6,,,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/mmp,
MGA,"Magna International, Inc.",50.32,15578111340.88,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mga,
